"","date","tempF"
"7728",2021-08-12 19:45:00,72.8447570800781
"7729",2021-08-12 20:00:00,72.8447570800781
"7730",2021-08-12 20:15:00,72.7675399780273
"7731",2021-08-12 20:30:00,72.690315246582
"7732",2021-08-12 20:45:00,72.690315246582
"7733",2021-08-12 21:00:00,72.5358734130859
"7734",2021-08-12 21:15:00,72.3814392089844
"7735",2021-08-12 21:30:00,72.3814392089844
"7736",2021-08-12 21:45:00,72.3042144775391
"7737",2021-08-12 22:00:00,72.2269973754883
"7738",2021-08-12 22:15:00,72.149772644043
"7739",2021-08-12 22:30:00,72.149772644043
"7740",2021-08-12 22:45:00,72.0725555419922
"7741",2021-08-12 23:00:00,71.9953308105469
"7742",2021-08-12 23:15:00,71.9181137084961
"7743",2021-08-12 23:30:00,71.8408889770508
"7744",2021-08-12 23:45:00,71.763671875
"7745",2021-08-13 00:00:00,71.6864471435547
"7746",2021-08-13 00:15:00,71.6092300415039
"7747",2021-08-13 00:30:00,71.5320053100586
"7748",2021-08-13 00:45:00,71.5320053100586
"7749",2021-08-13 01:00:00,71.4547882080078
"7750",2021-08-13 01:15:00,71.3775634765625
"7751",2021-08-13 01:30:00,71.3003463745117
"7752",2021-08-13 01:45:00,71.3003463745117
"7753",2021-08-13 02:00:00,71.2231216430664
"7754",2021-08-13 02:15:00,71.1459045410156
"7755",2021-08-13 02:30:00,71.1459045410156
"7756",2021-08-13 02:45:00,70.9914627075195
"7757",2021-08-13 03:00:00,70.9142456054688
"7758",2021-08-13 03:15:00,70.9142456054688
"7759",2021-08-13 03:30:00,70.7598037719727
"7760",2021-08-13 03:45:00,70.7598037719727
"7761",2021-08-13 04:00:00,70.7598037719727
"7762",2021-08-13 04:15:00,70.6053619384766
"7763",2021-08-13 04:30:00,70.5281372070312
"7764",2021-08-13 04:45:00,70.5281372070312
"7765",2021-08-13 05:00:00,70.3736953735352
"7766",2021-08-13 05:15:00,70.3736953735352
"7767",2021-08-13 05:30:00,70.2964782714844
"7768",2021-08-13 05:45:00,70.2964782714844
"7769",2021-08-13 06:00:00,70.2192535400391
"7770",2021-08-13 06:15:00,70.1420364379883
"7771",2021-08-13 06:30:00,70.1420364379883
"7772",2021-08-13 06:45:00,70.1420364379883
"7773",2021-08-13 07:00:00,70.064811706543
"7774",2021-08-13 07:15:00,70.064811706543
"7775",2021-08-13 07:30:00,69.9875946044922
"7776",2021-08-13 07:45:00,69.9875946044922
"7777",2021-08-13 08:00:00,69.9875946044922
"7778",2021-08-13 08:15:00,69.9875946044922
"7779",2021-08-13 08:30:00,70.064811706543
"7780",2021-08-13 08:45:00,70.064811706543
"7781",2021-08-13 09:00:00,70.064811706543
"7782",2021-08-13 09:15:00,70.1420364379883
"7783",2021-08-13 09:30:00,70.2192535400391
"7784",2021-08-13 09:45:00,70.2964782714844
"7785",2021-08-13 10:00:00,70.4509201049805
"7786",2021-08-13 10:15:00,70.4509201049805
