"","Stream","Significant Barrier","Moderate Barrier","Minor Barrier","Insignficant Barrier","No Barrier"
"1","Beaver Brook",0,0,2,2,0
"2","Germany Brook",0,2,2,3,0
"3","Mill Brook",1,4,4,5,0
"4","Mill Mine Brook",1,4,7,3,0
"5","Pine Tree Brook",0,0,10,7,0
"6","Ponkapoag Brook",1,4,1,5,1
"7","Purgatory Brook",1,5,2,2,0
"8","Traphole Brook",0,3,5,6,0
"9","Tubwreck Brook",0,1,4,2,0
