"","stream","spring","summer"
"1","BEB",6,6
"2","BEBT",2,2
"3","GEB",4,4
"4","GEBT",1,1
"5","MLB",5,5
"6","MMB",11,10
"7","MMBT",2,3
"8","POB",6,6
"9","PTB",8,8
"10","PTBT",3,3
"11","PUB",7,6
"12","PUBT",2,2
"13","THB",7,6
"14","THBT",1,1
