ObjectID,GlobalID,Date_HU,Time_HU,SiteID_HU,Crew_HU,Habitat Unit Type,Habitat Unit Start Position,Habitat Unit End Position,Habitat Unit Length (m),Secondary Channel Present?,Velocity,Depth Max (nearest 0.01m),Width Wetted Avg (nearest 0.1m),Pool Forming Feature,Large Woody Debris,Dominant Substrate,Subdominant Substrate,Canopy Cover,Instream Cover,HU Comment (free text),ParentGlobalID,CreationDate,Creator,EditDate,Editor
48,1817f0f6-6777-4640-8df8-f5d94e75738b,5/1/2021 4:00:00 PM,13:57,MLB001,Mike and Ronda Yeomans,glide,,66,,none,slow,32,2.5,,0,sand,gravel,20,"aquaticVeg,terrestrialVeg",,5429965d-c2ce-4e12-a3a3-d6096f6d44d7,5/1/2021 7:57:57 PM,,5/1/2021 7:57:57 PM,
49,4a5467b8-408e-42f6-bbfd-3fedc4ec7b73,5/1/2021 4:00:00 PM,14:00,MLB001,Mike and Ronda Yeomans,run,,100,,none,swift,0.3,3,,4,sand,gravel,30,"undercutBanks,largeWoodyDebris,aquaticVeg,terrestrialVeg",,5429965d-c2ce-4e12-a3a3-d6096f6d44d7,5/1/2021 7:57:57 PM,,5/1/2021 7:57:57 PM,
50,1df4563a-6431-4db8-b479-e6b6f6c4522e,5/3/2021 4:00:00 PM,10:25,THB006,Charlie and Dean,run,,4.5,,none,swift,0.35,6,,0,cobble,gravel,10,"undercutBanks,aquaticVeg,terrestrialVeg",,02fb45b9-df7c-407c-b72c-8b8600006e9b,5/3/2021 4:35:52 PM,,5/3/2021 4:35:52 PM,
51,02821180-cf27-42be-8e2c-e55ed417462a,5/3/2021 4:00:00 PM,10:29,THB006,Charlie and Dean,pool,,14,,none,slow,1.05,6,boulder,0,cobble,gravel,0,"undercutBanks,terrestrialVeg,whitewater",Deep and slippery!,02fb45b9-df7c-407c-b72c-8b8600006e9b,5/3/2021 4:35:52 PM,,5/3/2021 4:35:52 PM,
52,dc0e87ee-2d5a-4cb9-bc61-71955a5a23dd,5/3/2021 4:00:00 PM,10:55,THB006,Charlie and Dean,cascade,,18.5,,none,swift,0.4,3,,0,cobble,gravel,10,"undercutBanks,terrestrialVeg",,02fb45b9-df7c-407c-b72c-8b8600006e9b,5/3/2021 4:35:52 PM,,5/3/2021 4:35:52 PM,
53,04024d74-b48d-47dc-a963-a5b6483c656f,5/3/2021 4:00:00 PM,11:01,THB006,Charlie and Dean,pool,,25,,none,slow,0.45,4,boulder,0,gravel,siltClay,10,terrestrialVeg,,02fb45b9-df7c-407c-b72c-8b8600006e9b,5/3/2021 4:35:52 PM,,5/3/2021 4:35:52 PM,
54,fbb685c8-79d6-49dc-b0a6-a8782a29e296,5/3/2021 4:00:00 PM,11:06,THB006,Charlie and Dean,riffle,,52.5,,slow,swift,0.2,8.5,,3,gravel,sand,20,"undercutBanks,largeWoodyDebris,aquaticVeg,terrestrialVeg",,02fb45b9-df7c-407c-b72c-8b8600006e9b,5/3/2021 4:35:52 PM,,5/3/2021 4:35:52 PM,
55,d1325fa2-23b3-447a-b3c0-5145bf906a0c,5/3/2021 4:00:00 PM,11:12,THB006,Charlie and Dean,pool,,56.5,,slow,swift,0.43,8,,0,cobble,siltClay,10,terrestrialVeg,,02fb45b9-df7c-407c-b72c-8b8600006e9b,5/3/2021 4:35:52 PM,,5/3/2021 4:35:52 PM,
56,13b741c1-9919-491e-ae04-f1904d12bf54,5/3/2021 4:00:00 PM,11:16,THB006,Charlie and Dean,run,,73,,none,swift,0.36,6,,0,cobble,gravel,10,"terrestrialVeg,undercutBanks",,02fb45b9-df7c-407c-b72c-8b8600006e9b,5/3/2021 4:35:52 PM,,5/3/2021 4:35:52 PM,
57,e1207c66-7029-40eb-a2d3-71ac8c6a0ac8,5/3/2021 4:00:00 PM,11:20,THB006,Charlie and Dean,pool,,76.5,,none,swift,0.6,3.5,boulder,0,cobble,gravel,10,largeSubstrate,,02fb45b9-df7c-407c-b72c-8b8600006e9b,5/3/2021 4:35:52 PM,,5/3/2021 4:35:52 PM,
58,e77e34b1-8e41-4d0a-b3e1-f14abfeda632,5/3/2021 4:00:00 PM,11:24,THB006,Charlie and Dean,run,,100,,fast,swift,0.3,5,,1,cobble,gravel,10,"undercutBanks,terrestrialVeg,whitewater",,02fb45b9-df7c-407c-b72c-8b8600006e9b,5/3/2021 4:35:52 PM,,5/3/2021 4:35:52 PM,
59,ee9d0d3c-07a3-4c13-8c0a-eef3ed7dd1d9,5/3/2021 4:00:00 PM,12:12,THB 005,Dean Charley,pool,,100,,none,swift,0.75,3.6,,1,sand,cobble,30,"undercutBanks,aquaticVeg,largeWoodyDebris,terrestrialVeg",,b0ee4f9d-3204-49e1-82f6-7feaaba3fda8,5/3/2021 5:22:45 PM,,5/3/2021 5:22:45 PM,
60,0c4aa54c-2d60-4528-86ea-8731256d42b4,5/3/2021 4:00:00 PM,12:46,THB 005,Dean Charley,run,,95,,fast,swift,0.65,4.3,,2,gravel,sand,0,"undercutBanks,largeWoodyDebris,aquaticVeg,terrestrialVeg",,b0ee4f9d-3204-49e1-82f6-7feaaba3fda8,5/3/2021 5:22:45 PM,,5/3/2021 5:22:45 PM,
61,11701269-0b0d-4e54-bb1b-ee402aa68ed8,5/3/2021 4:00:00 PM,12:54,THB 005,Dean Charley,pool,,90,,none,swift,0.73,2.5,large woody debris,2,sand,gravel,0,"undercutBanks,largeWoodyDebris,aquaticVeg,terrestrialVeg",,b0ee4f9d-3204-49e1-82f6-7feaaba3fda8,5/3/2021 5:22:45 PM,,5/3/2021 5:22:45 PM,
62,4cc44998-2cb1-4c9d-a36a-3584511854ae,5/3/2021 4:00:00 PM,12:57,THB 005,Dean Charley,run,,86,,none,swift,0.55,3,,3,cobble,gravel,50,"undercutBanks,largeSubstrate,largeWoodyDebris,aquaticVeg,terrestrialVeg",,b0ee4f9d-3204-49e1-82f6-7feaaba3fda8,5/3/2021 5:22:45 PM,,5/3/2021 5:22:45 PM,
63,205d0ac4-0476-443c-8626-589e0ccf69ab,5/3/2021 4:00:00 PM,13:10,THB 005,Dean Charley,pool,,27,,none,slow,0.5,4,artificial,0,sand,gravel,40,"undercutBanks,aquaticVeg,terrestrialVeg",,b0ee4f9d-3204-49e1-82f6-7feaaba3fda8,5/3/2021 5:22:45 PM,,5/3/2021 5:22:45 PM,
64,1e31164a-77c5-4f5f-b48a-37615c92d359,5/3/2021 4:00:00 PM,13:13,THB 005,Dean Charley,run,,23.5,,fast,swift,0.3,5.5,,0,sand,gravel,90,other,under culvert,b0ee4f9d-3204-49e1-82f6-7feaaba3fda8,5/3/2021 5:22:45 PM,,5/3/2021 5:22:45 PM,
87,d3636c02-e8be-45d7-971b-56a97f2b629d,5/21/2021 4:00:00 PM,09:55,GEB003,Dean,riffle,,9,,none,swift,0.13,5.1,,1,cobble,gravel,80,"largeWoodyDebris,undercutBanks",,02f88a55-7e31-4cd6-841f-44286c3a1180,5/21/2021 2:39:32 PM,,5/21/2021 2:39:32 PM,
88,750c4054-185a-4f31-b6ed-2cc0f1fc2c09,5/21/2021 4:00:00 PM,09:59,GEB003,Dean,run,,33,,none,swift,0.3,2.5,,0,cobble,gravel,80,"largeSubstrate,undercutBanks,terrestrialVeg",,02f88a55-7e31-4cd6-841f-44286c3a1180,5/21/2021 2:39:32 PM,,5/21/2021 2:39:32 PM,
89,9dc2ef25-9794-47e4-a1a8-eb4ebae4b9f0,5/21/2021 4:00:00 PM,10:05,GEB003,Dean,riffle,,43.5,,none,swift,0.24,2.5,,0,cobble,gravel,80,"largeSubstrate,terrestrialVeg",,02f88a55-7e31-4cd6-841f-44286c3a1180,5/21/2021 2:39:32 PM,,5/21/2021 2:39:32 PM,
90,a9941f27-6b18-4489-9be4-a17a62e2b43c,5/21/2021 4:00:00 PM,10:09,GEB003,Dean,pool,,49,,none,slow,0.33,3,boulder,0,cobble,gravel,80,terrestrialVeg,,02f88a55-7e31-4cd6-841f-44286c3a1180,5/21/2021 2:39:32 PM,,5/21/2021 2:39:32 PM,
91,5ad79c71-b1c3-47b2-b8d8-534854b036c2,5/21/2021 4:00:00 PM,10:12,GEB003,Dean,pool,,53.5,,none,slow,0.36,2.5,boulder,0,cobble,gravel,90,terrestrialVeg,,02f88a55-7e31-4cd6-841f-44286c3a1180,5/21/2021 2:39:32 PM,,5/21/2021 2:39:32 PM,
92,e69771f0-4a64-44f8-a58a-761fb52c6781,5/21/2021 4:00:00 PM,10:15,GEB003,Dean,cascade,,62,,none,swift,0.2,2.5,,0,cobble,gravel,60,terrestrialVeg,,02f88a55-7e31-4cd6-841f-44286c3a1180,5/21/2021 2:39:32 PM,,5/21/2021 2:39:32 PM,
93,7c99620c-a793-4118-b5ab-9943ef7f0c49,5/21/2021 4:00:00 PM,10:17,GEB003,Dean,run,,93,,none,slow,0.43,3.2,,2,gravel,sand,80,"terrestrialVeg,largeWoodyDebris",,02f88a55-7e31-4cd6-841f-44286c3a1180,5/21/2021 2:39:32 PM,,5/21/2021 2:39:32 PM,
94,c2e62724-5a77-45a7-93bf-c627de6fbd19,5/21/2021 4:00:00 PM,10:35,GEB003,Dean,pool,,100,,none,swift,0.3,3,large woody debris,4,siltClay,sand,90,"undercutBanks,terrestrialVeg",,02f88a55-7e31-4cd6-841f-44286c3a1180,5/21/2021 2:39:32 PM,,5/21/2021 2:39:32 PM,
95,916cddff-93d3-4130-a52e-9922a39dad1e,5/21/2021 4:00:00 PM,11:07,THB006,"Dean, will ",run,,4.5,,none,swift,3.1,4.5,,0,,,80,terrestrialVeg,,cc779bf9-8e21-41e0-a55d-af0097130705,5/21/2021 3:48:04 PM,,5/21/2021 3:48:04 PM,
96,1e6bd01b-88d5-4c08-b31c-cbdcb5a0bcd6,5/21/2021 4:00:00 PM,11:10,THB006,"Dean, will ",pool,,14,,none,swift,1,3.6,boulder,0,,,0,terrestrialVeg,,cc779bf9-8e21-41e0-a55d-af0097130705,5/21/2021 3:48:04 PM,,5/21/2021 3:48:04 PM,
97,ba6a3358-a7bc-4138-b4ff-2ebce6cc49ae,5/21/2021 4:00:00 PM,11:19,THB006,"Dean, will ",cascade,,18.5,,none,swift,0.33,2.5,,0,,,30,terrestrialVeg,,cc779bf9-8e21-41e0-a55d-af0097130705,5/21/2021 3:48:04 PM,,5/21/2021 3:48:04 PM,
98,eb67c7d2-d188-4494-8af8-612c541ec071,5/21/2021 4:00:00 PM,11:27,THB006,"Dean, will ",pool,,25,,none,swift,0.42,3.4,boulder,0,,,50,terrestrialVeg,,cc779bf9-8e21-41e0-a55d-af0097130705,5/21/2021 3:48:04 PM,,5/21/2021 3:48:04 PM,
99,12e14976-8d89-4aae-9dc0-8a77ecc26dfe,5/21/2021 4:00:00 PM,11:29,THB006,"Dean, will ",riffle,,52.5,,fast,swift,2.7,4.5,,0,,,50,"terrestrialVeg,aquaticVeg",,cc779bf9-8e21-41e0-a55d-af0097130705,5/21/2021 3:48:04 PM,,5/21/2021 3:48:04 PM,
